date,asset,close
2020-01-01,A,100
2020-01-01,D,100
2020-01-01,E,100
2020-01-01,H,100
2020-01-01,I,100
2020-01-01,K,100
2020-01-03,A,103
2020-01-03,D,101
2020-01-03,E,102
2020-01-03,H,104
2020-01-03,I,103
2020-01-03,K,99
2020-01-06,A,100
2020-01-06,D,105
2020-01-06,E,90
2020-01-06,H,92
2020-01-06,I,89
2020-01-06,K,110
2020-01-08,A,95
2020-01-08,D,108
2020-01-08,E,85
2020-01-08,H,80
2020-01-08,I,82
2020-01-08,K,115
2020-01-11,A,100
2020-01-11,D,104
2020-01-11,E,100
2020-01-11,H,95
2020-01-11,I,98
2020-01-11,K,105
2020-01-13,A,110
2020-01-13,D,103
2020-01-13,E,112
2020-01-13,H,108
2020-01-13,I,115
2020-01-13,K,102
2020-01-16,A,100
2020-01-16,D,100
2020-01-16,E,105
2020-01-16,H,120
2020-01-16,I,125
2020-01-16,K,100
2020-01-18,A,98
2020-01-18,D,98
2020-01-18,E,101
2020-01-18,H,135
2020-01-18,I,140
2020-01-18,K,98
2020-01-21,A,97
2020-01-21,D,102
2020-01-21,E,90
2020-01-21,H,70
2020-01-21,I,80
2020-01-21,K,101
2020-01-23,A,99
2020-01-23,D,103
2020-01-23,E,88
2020-01-23,H,65
2020-01-23,I,78
2020-01-23,K,103
